text,name,in_1764,in_1778,in_names_omitted,division,occupation_abbr,occupation,sect_abbr,sect,start_1,end_1,start_2,end_2,born,born_about,died,died_about,died_after,age,flourished,flourished_about,flourished_before,flourished_after,flourished_century,lived
Aaron fl. 622 Ph,Aaron,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,602,632,572,652,,,,,,,622,FALSE,FALSE,FALSE,FALSE,
Abas fl. 1070 BC,Abas,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-1089,-1059,-1119,-1039,,,,,,,-1069,FALSE,FALSE,FALSE,FALSE,
Abbas Shah d. 1628.70,Abbas Shah,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1558,1628,1558,1628,,,1628,FALSE,FALSE,70,,,,,,
Abbo d. 1183 D,Abbo,TRUE,FALSE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1153,1183,1113,1183,,,1183,FALSE,FALSE,,,,,,,
Abbo d. 1104 D,Abbo,FALSE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1074,1104,1034,1104,,,1104,FALSE,FALSE,,,,,,,
Abbo Neustriae fl. 892 P,Abbo Neustriae,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,872,902,842,922,,,,,,,892,FALSE,FALSE,FALSE,FALSE,
Abbot d. 1633 71 D,Abbot,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1562,1633,1562,1633,,,1633,FALSE,FALSE,71,,,,,,
Abdalrahman d. 708,Abdalrahman,TRUE,FALSE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,678,708,638,708,,,708,FALSE,FALSE,,,,,,,
Abdalrahman d. 987 85 M,Abdalrahman,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,902,987,902,987,,,987,FALSE,FALSE,85,,,,,,
Abelard d. 1143. 62 D,Abelard,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1081,1143,1081,1143,,,1143,FALSE,FALSE,62,,,,,,
Abenezra d. 1174. 75 J,Abenezra,TRUE,TRUE,FALSE,Divines and Metaphysicians,J,Jewish Religious Person,,,1099,1174,1099,1174,,,1174,FALSE,FALSE,75,,,,,,
Abibalus fl. 1048 BC,Abibalus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-1067,-1037,-1097,-1017,,,,,,,-1047,FALSE,FALSE,FALSE,FALSE,
Abijah d. 955 BC,Abijah,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-984,-954,-1024,-954,,,-954,FALSE,FALSE,,,,,,,
Abrabinel d. 1508. 70 J,Abrabinel,TRUE,TRUE,FALSE,Divines and Metaphysicians,J,Jewish Religious Person,,,1438,1508,1438,1508,,,1508,FALSE,FALSE,70,,,,,,
Abu Bekr d. 634. 63,Abu Bekr,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,571,634,571,634,,,634,FALSE,FALSE,63,,,,,,
Abucaras fl.770 D,Abucaras,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,750,780,720,800,,,,,,,770,FALSE,FALSE,FALSE,FALSE,
Abulfeda d. 1345. 72 Geo,Abulfeda,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",Geo,Geographer,,,1273,1345,1273,1345,,,1345,FALSE,FALSE,72,,,,,,
Abulghazi d. 1663 59 H,Abulghazi,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1604,1663,1604,1663,,,1663,FALSE,FALSE,59,,,,,,
Abul Pharai b. 1226 l. af. 1285 H,Abul Pharai,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1226,1285,1226,1295,1226,FALSE,,,,,,,,,,1285
Abusaid. d. 1335. 32,Abusaid.,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1303,1335,1303,1335,,,1335,FALSE,FALSE,32,,,,,,
Abu Temam d. 843. 41 P,Abu Temam,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,802,843,802,843,,,843,FALSE,FALSE,41,,,,,,
Abydenus fl. ab. 300 BC H,Abydenus,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,,,-349,-269,,,,,,,-299,TRUE,FALSE,FALSE,FALSE,
Acca d. 740 D,Acca,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,710,740,670,740,,,740,FALSE,FALSE,,,,,,,
Accius b. 171 BC ab. 65 P,Accius,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-170,-105,-170,-105,-170,FALSE,,,,,,,,,,
Accursius d. 1229. 77 L,Accursius,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1152,1229,1152,1229,,,1229,FALSE,FALSE,77,,,,,,
Achilles Tatius fl. ab. 800 H P.,Achilles Tatius,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,,,,,750,830,,,,,,,800,TRUE,FALSE,FALSE,FALSE,
Achillini d. 1512. 47 M,Achillini,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1465,1512,1465,1512,,,1512,FALSE,FALSE,47,,,,,,
Achmet fl. 4 Cent. Cr.,Achmet,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,330,360,300,380,,,,,,,350,FALSE,FALSE,FALSE,TRUE,
Acron fl. 439 BC Ph.,Acron,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,-458,-428,-488,-408,,,,,,,-438,FALSE,FALSE,FALSE,FALSE,
Acropolita G. d. 1282. 62 H,Acropolita G.,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1220,1282,1220,1282,,,1282,FALSE,FALSE,62,,,,,,
Actuarius J. fl. 1300 Ph.,Actuarius J.,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,1280,1310,1250,1330,,,,,,,1300,FALSE,FALSE,FALSE,FALSE,
Acusilaus fl. 550 BC H,Acusilaus,FALSE,TRUE,TRUE,"Historians, Antiquarians, and Lawyers",H,Historian,,,-569,-539,-599,-519,,,,,,,-549,FALSE,FALSE,FALSE,FALSE,
Adado’dawla d. 982 ab. 47,Adado’dawla,FALSE,TRUE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,935,982,935,982,,,982,FALSE,FALSE,,,,,,,
"Adda, R. fl. 298. M","Adda, R.",FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,278,308,248,328,,,,,,,298,FALSE,FALSE,FALSE,FALSE,
Addison d. 1719. 54 P,Addison,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1665,1719,1665,1719,,,1719,FALSE,FALSE,54,,,,,,
"Adelmus, Du, fl. 709 M","Adelmus, Du,",FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,689,719,659,739,,,,,,,709,FALSE,FALSE,FALSE,FALSE,
Ado d. 874 H,Ado,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,844,874,804,874,,,874,FALSE,FALSE,,,,,,,
Adrian d. 138. 72,Adrian,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,66,138,66,138,,,138,FALSE,FALSE,72,,,,,,
Adrian 4th d. 1159 Po.,Adrian 4th,TRUE,TRUE,FALSE,Divines and Metaphysicians,Po,Pope,,,1129,1159,1089,1159,,,1159,FALSE,FALSE,,,,,,,
Ægialeus fl. 1080 BC,Ægialeus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-1099,-1069,-1129,-1049,,,,,,,-1079,FALSE,FALSE,FALSE,FALSE,
Ægidius fl. 12 Cent. P,Ægidius,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,1130,1160,1100,1180,,,,,,,1150,FALSE,FALSE,FALSE,TRUE,
Ælian d. ab. 140. 60 H,Ælian,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,80,140,80,140,,,140,TRUE,FALSE,60,,,,,,
Æmilian d. 254. 46,Æmilian,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,208,254,208,254,,,254,FALSE,FALSE,46,,,,,,
Æmilius fl. 883 BC,Æmilius,TRUE,FALSE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-902,-872,-932,-852,,,,,,,-882,FALSE,FALSE,FALSE,FALSE,
Æmilius P. d. 160 BC,Æmilius P.,FALSE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-189,-159,-229,-159,,,-159,FALSE,FALSE,,,,,,,
Æneas fl. 883 BC,Æneas,FALSE,TRUE,TRUE,Statesmen and Warriors,,Politician/Military Person,,,-902,-872,-932,-852,,,,,,,-882,FALSE,FALSE,FALSE,FALSE,
Æneas Gazaeus fl. 490 F,Æneas Gazaeus,FALSE,TRUE,TRUE,Divines and Metaphysicians,F,Christian Father,,,470,500,440,520,,,,,,,490,FALSE,FALSE,FALSE,FALSE,
Æneas Sylvius d. 1464. 58 Po,Æneas Sylvius,TRUE,TRUE,FALSE,Divines and Metaphysicians,Po,Pope,,,1406,1464,1406,1464,,,1464,FALSE,FALSE,58,,,,,,
Æolus fl. 1013 BC,Æolus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-1032,-1002,-1062,-982,,,,,,,-1012,FALSE,FALSE,FALSE,FALSE,
Æschines d. af. 330 BC Or,Æschines,TRUE,TRUE,FALSE,Orators and Critics,Or,Orator,,,-349,-329,-389,-319,,,-329,FALSE,TRUE,,,,,,,
Æschines fl. 400 BC H P. Soc.,Æschines,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,Soc,Socratic,-419,-389,-449,-369,,,,,,,-399,FALSE,FALSE,FALSE,FALSE,
Æschylus d. 456 BC 69 P,Æschylus,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-524,-455,-524,-455,,,-455,FALSE,FALSE,69,,,,,,
Æsculapius d. 927 BC Ph.,Æsculapius,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,-956,-926,-996,-926,,,-926,FALSE,FALSE,,,,,,,
Æsop d. ab. 561 BC H P.,Æsop,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,,,-590,-560,-630,-560,,,-560,TRUE,FALSE,,,,,,,
Æsopus fl. 50 BC Act,Æsopus,FALSE,FALSE,TRUE,Poets and Artists,Act,Actor,,,-69,-39,-99,-19,,,,,,,-49,FALSE,FALSE,FALSE,FALSE,
Ætius d. 454,Ætius,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,424,454,384,454,,,454,FALSE,FALSE,,,,,,,
Ætius Amidenus fl. 500 Ph,Ætius Amidenus,TRUE,FALSE,FALSE,Mathematicians and Physicians,Ph,Physician,,,480,510,450,530,,,,,,,500,FALSE,FALSE,FALSE,FALSE,
Ætius Amidenus fl. 600 Ph,Ætius Amidenus,FALSE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,580,610,550,630,,,,,,,600,FALSE,FALSE,FALSE,FALSE,
Afer Domitius d. ab. 60 Cr,Afer Domitius,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,30,60,-10,60,,,60,TRUE,FALSE,,,,,,,
Afranius fl. 100 BC P,Afranius,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-119,-89,-149,-69,,,,,,,-99,FALSE,FALSE,FALSE,FALSE,
Africanus Julius d. ab. 232 H,Africanus Julius,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,202,232,162,232,,,232,TRUE,FALSE,,,,,,,
Agamemnon d. af. 904 BC,Agamemnon,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-923,-903,-963,-893,,,-903,FALSE,TRUE,,,,,,,
Agathemer fl. ab. 200 Geo.,Agathemer,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",Geo,Geographer,,,,,150,230,,,,,,,200,TRUE,FALSE,FALSE,FALSE,
Agathias fl. 565 H,Agathias,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,545,575,515,595,,,,,,,565,FALSE,FALSE,FALSE,FALSE,
Agathocles d. 289 BC 72,Agathocles,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-360,-288,-360,-288,,,-288,FALSE,FALSE,72,,,,,,
Agesilaus d. 361 BC 84,Agesilaus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-444,-360,-444,-360,,,-360,FALSE,FALSE,84,,,,,,
Agilus the Goth d. 616,Agilus the Goth,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,586,616,546,616,,,616,FALSE,FALSE,,,,,,,
Agis d. 241 BC ab. 22,Agis,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-262,-240,-262,-240,,,-240,FALSE,FALSE,,,,,,,
Agobard d. 840. 60 D,Agobard,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,780,840,780,840,,,840,FALSE,FALSE,60,,,,,,
Agricola d. 93. 56,Agricola,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,37,93,37,93,,,93,FALSE,FALSE,56,,,,,,
Agricola George d. 1555. 61 M,Agricola George,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1494,1555,1494,1555,,,1555,FALSE,FALSE,61,,,,,,
Agricola Rodolphus d. 1485. 43 Cr,Agricola Rodolphus,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1442,1485,1442,1485,,,1485,FALSE,FALSE,43,,,,,,
Agrippa d. 64. 54,Agrippa,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,10,64,10,64,,,64,FALSE,FALSE,54,,,,,,
Agrippa Byth. fl. 90 M,Agrippa Byth.,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,70,100,40,120,,,,,,,90,FALSE,FALSE,FALSE,FALSE,
Agrippa Cornelius d. 1534. 48 M,Agrippa Cornelius,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1486,1534,1486,1534,,,1534,FALSE,FALSE,48,,,,,,
Agrippa Vipsanius d. 12 BC 51,Agrippa Vipsanius,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-62,-11,-62,-11,,,-11,FALSE,FALSE,51,,,,,,
Agrippina Junior d. 59,Agrippina Junior,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,29,59,-11,59,,,59,FALSE,FALSE,,,,,,,
Ahab d. 897 BC,Ahab,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-926,-896,-966,-896,,,-896,FALSE,FALSE,,,,,,,
Ahaz d. 726 BC,Ahaz,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-755,-725,-795,-725,,,-725,FALSE,FALSE,,,,,,,
Ahmed d. 883,Ahmed,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,853,883,813,883,,,883,FALSE,FALSE,,,,,,,
Aidan d. 651 D,Aidan,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,621,651,581,651,,,651,FALSE,FALSE,,,,,,,
Ailli d. 1420. 70 D,Ailli,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1350,1420,1350,1420,,,1420,FALSE,FALSE,70,,,,,,
Ailred d. 1166. 57 H,Ailred,FALSE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1109,1166,1109,1166,,,1166,FALSE,FALSE,57,,,,,,
Aimoin d. 1008 H,Aimoin,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,978,1008,938,1008,,,1008,FALSE,FALSE,,,,,,,
Akbar d. 1605. 63,Akbar,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1542,1605,1542,1605,,,1605,FALSE,FALSE,63,,,,,,
Akiba fl. 130 J,Akiba,TRUE,FALSE,FALSE,Divines and Metaphysicians,J,Jewish Religious Person,,,110,140,80,160,,,,,,,130,FALSE,FALSE,FALSE,FALSE,
Akiba d. 135 J,Akiba,FALSE,TRUE,FALSE,Divines and Metaphysicians,J,Jewish Religious Person,,,105,135,65,135,,,135,FALSE,FALSE,,,,,,,
Akinside d. 1770 P,Akinside,FALSE,TRUE,FALSE,Poets and Artists,P,Poet,,,1740,1770,1700,1770,,,1770,FALSE,FALSE,,,,,,,
Alain b. 1386 H,Alain,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",H,Historian,,,1386,1416,1386,1446,1386,FALSE,,,,,,,,,,
Alakis d. 694,Alakis,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,664,694,624,694,,,694,FALSE,FALSE,,,,,,,
Alamand d. 1450. 60 D,Alamand,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1390,1450,1390,1450,,,1450,FALSE,FALSE,60,,,,,,
Alanus de insulis d. 1182 D,Alanus de insulis,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1152,1182,1112,1182,,,1182,FALSE,FALSE,,,,,,,
Alaric the Goth d. 410,Alaric the Goth,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,380,410,340,410,,,410,FALSE,FALSE,,,,,,,
Alban St. d. 303 F,Alban St.,TRUE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,273,303,233,303,,,303,FALSE,FALSE,,,,,,,
Albani d. 1660. 82 Pa,Albani,FALSE,FALSE,TRUE,Poets and Artists,Pa,Painter,,,1578,1660,1578,1660,,,1660,FALSE,FALSE,82,,,,,,
Albategni d. 928 M,Albategni,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,898,928,858,928,,,928,FALSE,FALSE,,,,,,,
Albert d. 1308,Albert,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1278,1308,1238,1308,,,1308,FALSE,FALSE,,,,,,,
Albertet fl. 1289 M,Albertet,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1269,1299,1239,1319,,,,,,,1289,FALSE,FALSE,FALSE,FALSE,
Alberoni Card. d. 1752. 88,Alberoni Card.,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1664,1752,1664,1752,,,1752,FALSE,FALSE,88,,,,,,
Alberti Leo Baptista fl. 1443 Ar,Alberti Leo Baptista,TRUE,FALSE,FALSE,Poets and Artists,Ar,Architect,,,1423,1453,1393,1473,,,,,,,1443,FALSE,FALSE,FALSE,FALSE,
Alberti Leo Baptista d. ab. 1485 Ar,Alberti Leo Baptista,FALSE,TRUE,FALSE,Poets and Artists,Ar,Architect,,,1455,1485,1415,1485,,,1485,TRUE,FALSE,,,,,,,
Albertus Magnus d. 1280 M,Albertus Magnus,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1250,1280,1210,1280,,,1280,FALSE,FALSE,,,,,,,
Albertus Magnus d. 1280. 87 M,Albertus Magnus,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1193,1280,1193,1280,,,1280,FALSE,FALSE,87,,,,,,
Albinus d. 198,Albinus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,168,198,128,198,,,198,FALSE,FALSE,,,,,,,
Albirouni fl. 995 M,Albirouni,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,975,1005,945,1025,,,,,,,995,FALSE,FALSE,FALSE,FALSE,
Alboinus the Lombard d. 595,Alboinus the Lombard,TRUE,FALSE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,565,595,525,595,,,595,FALSE,FALSE,,,,,,,
Alboinus the Lombard d. ab. 574,Alboinus the Lombard,FALSE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,544,574,504,574,,,574,TRUE,FALSE,,,,,,,
Albuassin fl. 1255 M,Albuassin,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1235,1265,1205,1285,,,,,,,1255,FALSE,FALSE,FALSE,FALSE,
Albucasis fl. 1120 Ph,Albucasis,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,1100,1130,1070,1150,,,,,,,1120,FALSE,FALSE,FALSE,FALSE,
Albumazar fl. 841 M,Albumazar,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,821,851,791,871,,,,,,,841,FALSE,FALSE,FALSE,FALSE,
Albumazer fl. 841 M,Albumazer,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,821,851,791,871,,,,,,,841,FALSE,FALSE,FALSE,FALSE,
Albuquerque d. 1515. 63,Albuquerque,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1452,1515,1452,1515,,,1515,FALSE,FALSE,63,,,,,,
Alchabitius fl. 1480. M,Alchabitius,TRUE,FALSE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1460,1490,1430,1510,,,,,,,1480,FALSE,FALSE,FALSE,FALSE,
Alehabitius fl. 1480. M,Alehabitius,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1460,1490,1430,1510,,,,,,,1480,FALSE,FALSE,FALSE,FALSE,
Alciat d. 1550. 57 L,Alciat,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,1493,1550,1493,1550,,,1550,FALSE,FALSE,57,,,,,,
Alcibiades d. 404 BC 46,Alcibiades,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-449,-403,-449,-403,,,-403,FALSE,FALSE,46,,,,,,
Alcimus Avitus d. 523 F,Alcimus Avitus,TRUE,TRUE,FALSE,Divines and Metaphysicians,F,Christian Father,,,493,523,453,523,,,523,FALSE,FALSE,,,,,,,
Alcaeus fl. 607 BC P,Alcaeus,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-626,-596,-656,-576,,,,,,,-606,FALSE,FALSE,FALSE,FALSE,
Alcman fl. 670 BC P,Alcman,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,-689,-659,-719,-639,,,,,,,-669,FALSE,FALSE,FALSE,FALSE,
Alcuinus d. 814 D,Alcuinus,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,784,814,744,814,,,814,FALSE,FALSE,,,,,,,
Aldhelm d. 709 D,Aldhelm,TRUE,TRUE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,679,709,639,709,,,709,FALSE,FALSE,,,,,,,
Aldrovandus d. 1605 Ph,Aldrovandus,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,1575,1605,1535,1605,,,1605,FALSE,FALSE,,,,,,,
Alexander d. 323 BC 32,Alexander,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-354,-322,-354,-322,,,-322,FALSE,FALSE,32,,,,,,
Alexander Severus d. 235. 26,Alexander Severus,TRUE,FALSE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,209,235,209,235,,,235,FALSE,FALSE,26,,,,,,
Alexander Aphrodisiensis fl. 201 Cr,Alexander Aphrodisiensis,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,181,211,151,231,,,,,,,201,FALSE,FALSE,FALSE,FALSE,
Alexander 6th. d. 1503 Po,Alexander 6th.,TRUE,FALSE,FALSE,Divines and Metaphysicians,Po,Pope,,,1473,1503,1433,1503,,,1503,FALSE,FALSE,,,,,,,
Alexander 6th. d. 1503. 72. Po,Alexander 6th.,FALSE,TRUE,FALSE,Divines and Metaphysicians,Po,Pope,,,1431,1503,1431,1503,,,1503,FALSE,FALSE,72,,,,,,
Alexander Ab Alexandro d. 1521. 50 Cr,Alexander Ab Alexandro,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,1471,1521,1471,1521,,,1521,FALSE,FALSE,50,,,,,,
Alexander Tralliensis fl. 620 Ph,Alexander Tralliensis,TRUE,TRUE,FALSE,Mathematicians and Physicians,Ph,Physician,,,600,630,570,650,,,,,,,620,FALSE,FALSE,FALSE,FALSE,
Alexius Comnenus d. 1118,Alexius Comnenus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1088,1118,1048,1118,,,1118,FALSE,FALSE,,,,,,,
Alsenus Varus fl. 10 BC L,Alsenus Varus,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,-29,1,-59,21,,,,,,,-9,FALSE,FALSE,FALSE,FALSE,
Alfragani fl. 879 M,Alfragani,TRUE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,859,889,829,909,,,,,,,879,FALSE,FALSE,FALSE,FALSE,
Alfred d. 900. 50,Alfred,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,850,900,850,900,,,900,FALSE,FALSE,50,,,,,,
Alhazen fl. 1072 M,Alhazen,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1052,1082,1022,1102,,,,,,,1072,FALSE,FALSE,FALSE,FALSE,
Ali d. 660. 59,Ali,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,601,660,601,660,,,660,FALSE,FALSE,59,,,,,,
"Ali, Ebn Hosein, fl. 980 M","Ali, Ebn Hosein,",FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,960,990,930,1010,,,,,,,980,FALSE,FALSE,FALSE,FALSE,
Alimentus L. C. fl. 211 BC L,Alimentus L. C.,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,-230,-200,-260,-180,,,,,,,-210,FALSE,FALSE,FALSE,FALSE,
Al Kamel d. 1237. 69,Al Kamel,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1168,1237,1168,1237,,,1237,FALSE,FALSE,69,,,,,,
Alkindus fl. 1100 M,Alkindus,FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1080,1110,1050,1130,,,,,,,1100,FALSE,FALSE,FALSE,FALSE,
Almaeon fl. 500 BC H P. Ital,Almaeon,FALSE,FALSE,TRUE,Divines and Metaphysicians,H P,Philosopher,Ital,Italic,-519,-489,-549,-469,,,,,,,-499,FALSE,FALSE,FALSE,FALSE,
Alcmæon fl. 500 BC H P. Ital,Alcmæon,FALSE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,Ital,Italic,-519,-489,-549,-469,,,,,,,-499,FALSE,FALSE,FALSE,FALSE,
"Alcmæon, Alm, fl. 1140 M","Alcmæon, Alm,",FALSE,TRUE,FALSE,Mathematicians and Physicians,M,Mathematician,,,1120,1150,1090,1170,,,,,,,1140,FALSE,FALSE,FALSE,FALSE,
Alliacus d. 1425 D,Alliacus,TRUE,FALSE,FALSE,Divines and Metaphysicians,D,Christian Religious Person,,,1395,1425,1355,1425,,,1425,FALSE,FALSE,,,,,,,
Almamon d. 833,Almamon,TRUE,FALSE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,803,833,763,833,,,833,FALSE,FALSE,,,,,,,
Almamon d. 833. 48,Almamon,FALSE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,785,833,785,833,,,833,FALSE,FALSE,48,,,,,,
