text,name,in_1764,in_1778,in_names_omitted,division,occupation_abbr,occupation,sect_abbr,sect,start_1,end_1,start_2,end_2,born,born_about,died,died_about,died_after,age,flourished,flourished_about,flourished_before,flourished_after,flourished_century,lived
Seleucus d. 280. 78,Seleucus,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,202,280,202,280,,,280,FALSE,FALSE,78,,,,,,
Selim 1st d. 1519. 54,Selim 1st,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,1465,1519,1465,1519,,,1519,FALSE,FALSE,54,,,,,,
Semiramis fl. 760 BC,Semiramis,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-779,-749,-809,-729,,,,,,,-759,FALSE,FALSE,FALSE,FALSE,
Sempronius Sapiens fl. 300 BC,Sempronius Sapiens,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-319,-289,-349,-269,,,,,,,-299,FALSE,FALSE,FALSE,FALSE,
Sempronius Proculus fl. 60 L,Sempronius Proculus,TRUE,TRUE,FALSE,"Historians, Antiquarians, and Lawyers",L,Lawyer,,,40,70,10,90,,,,,,,60,FALSE,FALSE,FALSE,FALSE,
Senacherib d. 709 BC,Senacherib,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-738,-708,-778,-708,,,-708,FALSE,FALSE,,,,,,,
Seneca d. 65. 63 H P.,Seneca,TRUE,TRUE,FALSE,Divines and Metaphysicians,H P,Philosopher,,,2,65,2,65,,,65,FALSE,FALSE,63,,,,,,
Seneca L. A fl. 65 P,Seneca L. A,TRUE,TRUE,FALSE,Poets and Artists,P,Poet,,,45,75,15,95,,,,,,,65,FALSE,FALSE,FALSE,FALSE,
Seneca M. A fl. 64 Cr,Seneca M. A,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,44,74,14,94,,,,,,,64,FALSE,FALSE,FALSE,FALSE,
Servius fl. 410 Cr,Servius,TRUE,TRUE,FALSE,Orators and Critics,Cr,Critic,,,390,420,360,440,,,,,,,410,FALSE,FALSE,FALSE,FALSE,
Sertorius d. 73 BC,Sertorius,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-102,-72,-142,-72,,,-72,FALSE,FALSE,,,,,,,
Servetus M. d. 1553. 44 D,Servetus M.,FALSE,TRUE,TRUE,Divines and Metaphysicians,D,Christian Religious Person,,,1509,1553,1509,1553,,,1553,FALSE,FALSE,44,,,,,,
Sesac d. 956 BC,Sesac,TRUE,TRUE,FALSE,Statesmen and Warriors,,Politician/Military Person,,,-985,-955,-1025,-955,,,-955,FALSE,FALSE,,,,,,,
